People.ID,People.First Name,People.Last Name,Learning Path.ID,Learning Path.Title,Learning Path Results.% Complete,Course.ID,Course.Title,Course User Results.Percentage,Course User Results.Date Completed,Learning Path/Course.Is Optional,Course Custom Fields.Estimated Course Duration (hh:mm),Learning Path Results.Assignment Name
20000137,Avery,Anderson,10017,Manager Essentials,100,1000037,Coaching Conversations for Managers (online),100,09/07/2025 10:55,NO,02:00,
20000137,Avery,Anderson,10017,Manager Essentials,100,1000074,Leading Through Change (instructor-led),100,06/14/2024 14:40,NO,00:25,Natalie Brooks
20000137,Avery,Anderson,10017,Manager Essentials,100,1000296,Inclusive Leadership Habits (self-study),100,08/21/2024 15:45,NO,00:40,Natalie Brooks
20000137,Avery,Anderson,10017,Manager Essentials,100,1000370,Conflict Resolution for Leaders (online),100,04/16/2025 13:05,NO,00:15,Natalie Brooks
20000137,Avery,Anderson,10017,Manager Essentials,100,1000407,Talent Review Readiness (online),100,05/28/2024 11:35,YES,00:20,Marcus Reed
20000137,Avery,Anderson,10017,Manager Essentials,100,1000555,Leadership Communication Lab (online),100,12/25/2025 09:10,NO,02:30,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000037,Coaching Conversations for Managers (online),100,09/07/2025 10:55,NO,02:00,
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000074,Leading Through Change (instructor-led),100,06/14/2024 14:40,NO,00:25,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000111,Delegation Essentials (instructor-led),100,09/11/2025 13:10,NO,01:00,
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000148,Performance Feedback Practice (online),100,09/17/2025 13:30,NO,02:00,Marcus Reed
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000185,Strategic Thinking Foundations (video),100,03/04/2025 12:30,YES,03:00,Elena Martinez
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000222,Managing Hybrid Teams (self-study),100,11/04/2025 15:05,NO,01:00,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000296,Inclusive Leadership Habits (self-study),100,08/21/2024 15:45,NO,00:40,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000333,Executive Presence Basics (video),100,11/20/2025 16:00,NO,00:50,
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000370,Conflict Resolution for Leaders (online),100,04/16/2025 13:05,NO,00:15,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000407,Talent Review Readiness (online),100,05/28/2024 11:35,NO,00:20,Marcus Reed
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000481,Leading Effective One-on-Ones (video),100,06/17/2025 17:30,YES,00:40,Marcus Reed
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000518,Mentoring Emerging Leaders (instructor-led),100,01/18/2025 13:10,NO,03:00,Priya Shah
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000555,Leadership Communication Lab (online),100,12/25/2025 09:10,NO,02:30,Natalie Brooks
20000137,Avery,Anderson,10034,Advanced People Leadership,100,1000629,Manager Onboarding Essentials (online),100,07/21/2025 15:05,NO,00:35,Elena Martinez
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000703,Anti-Bribery Fundamentals (online),0,,NO,00:30,Elena Martinez
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000740,Privacy and Data Handling (video),0,,NO,03:00,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000777,Records Retention Basics (video),0,,NO,01:15,Natalie Brooks
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000814,Harassment Prevention (video),0,,NO,00:20,Elena Martinez
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000851,Conflicts of Interest (online),0,,YES,00:20,Priya Shah
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000888,Ethical Decision Making (online),0,,NO,01:45,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000962,Global Trade Compliance (online),0,,NO,02:30,Priya Shah
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1000999,Workplace Investigations Basics (online),0,,NO,00:20,
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001036,Policy Acknowledgement Review (online),26,,NO,02:00,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001073,Third Party Risk Awareness (self-study),89,,NO,01:00,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001110,Compliance Scenario Workshop (online),0,,NO,02:00,Priya Shah
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001184,Responsible Business Conduct (instructor-led),0,,YES,00:25,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001221,Fair Competition Basics (instructor-led),0,,NO,01:30,Marcus Reed
20000137,Avery,Anderson,10051,Annual Compliance Core,0,1001258,Regulatory Audit Readiness (video),69,,NO,00:50,Elena Martinez
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000666,Code of Conduct Overview (Inactive 08/22/2025),70,,NO,00:15,Marcus Reed
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000703,Anti-Bribery Fundamentals (online),0,,NO,00:30,Natalie Brooks
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000814,Harassment Prevention (video),0,,NO,00:20,Natalie Brooks
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000851,Conflicts of Interest (online),0,,YES,00:20,Priya Shah
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000888,Ethical Decision Making (online),0,,YES,01:45,
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1000925,Reporting Concerns Safely (video),0,,NO,00:50,Marcus Reed
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001036,Policy Acknowledgement Review (online),26,,NO,02:00,Marcus Reed
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001073,Third Party Risk Awareness (self-study),89,,NO,01:00,Marcus Reed
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001110,Compliance Scenario Workshop (online),0,,YES,02:00,Marcus Reed
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001184,Responsible Business Conduct (instructor-led),0,,YES,00:25,Natalie Brooks
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001221,Fair Competition Basics (instructor-led),0,,NO,01:30,Natalie Brooks
20000137,Avery,Anderson,10068,Ethics and Risk Practices,0,1001258,Regulatory Audit Readiness (video),69,,NO,00:50,Elena Martinez
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001332,Password Security Essentials (instructor-led),100,10/23/2024 11:45,NO,00:25,Elena Martinez
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001369,Secure Remote Work (Inactive 07/27/2025),0,,NO,01:00,Priya Shah
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001406,Data Classification Basics (instructor-led),100,04/16/2026 13:55,NO,02:30,Natalie Brooks
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001443,Mobile Device Security (online),100,09/18/2024 15:45,YES,01:15,Priya Shah
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001480,Social Engineering Defense (self-study),100,05/19/2025 12:15,NO,00:45,Natalie Brooks
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001517,Incident Reporting Basics (self-study),100,03/14/2026 14:50,NO,00:30,Priya Shah
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001591,Multi-Factor Authentication (self-study),100,07/20/2025 13:45,NO,01:00,Elena Martinez
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001702,Identity Protection Basics (Discontinued 10/01/2025),38,,NO,01:45,Priya Shah
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001776,Safe Browsing Practices (video),100,02/27/2025 13:30,NO,00:45,Priya Shah
20000137,Avery,Anderson,10085,Cybersecurity Foundations,100,1001887,Travel Security Tips (video),100,04/08/2025 16:40,NO,00:40,Priya Shah
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001295,Phishing Awareness Refresher (online),100,05/02/2025 09:35,YES,01:00,Natalie Brooks
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001332,Password Security Essentials (instructor-led),100,10/23/2024 11:45,NO,00:25,Elena Martinez
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001443,Mobile Device Security (online),100,09/18/2024 15:45,NO,01:15,Priya Shah
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001554,Cloud Security Foundations (online),100,07/26/2024 17:10,YES,03:00,Natalie Brooks
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001591,Multi-Factor Authentication (self-study),100,07/20/2025 13:45,NO,01:00,Elena Martinez
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001628,Ransomware Awareness (online),100,09/22/2024 09:05,NO,02:00,Natalie Brooks
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001665,Secure File Sharing (self-study),100,01/05/2026 12:00,NO,01:45,Elena Martinez
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001702,Identity Protection Basics (Discontinued 10/01/2025),38,,YES,01:45,Priya Shah
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001739,Security for Managers (video),100,01/01/2026 12:15,NO,00:35,Priya Shah
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001813,Endpoint Protection Overview (instructor-led),100,04/11/2025 13:20,YES,01:30,Priya Shah
20000137,Avery,Anderson,10102,Secure Work Practices,100,1001850,Cybersecurity Annual Review (online),100,06/11/2024 15:45,NO,01:30,Priya Shah
